1,F,1,10,48067
2,M,56,16,70072
3,M,25,15,55117
4,M,45,7,2460
5,M,25,20,55455
6,F,50,9,55117
7,M,35,1,6810
8,M,25,12,11413
9,M,25,17,61614
10,F,35,1,95370
11,F,25,1,4093
12,M,25,12,32793
13,M,45,1,93304
14,M,35,0,60126
15,M,25,7,22903
16,F,35,0,20670
17,M,50,1,95350
18,F,18,3,95825
19,M,1,10,48073
20,M,25,14,55113
21,M,18,16,99353
22,M,18,15,53706
23,M,35,0,90049
24,F,25,7,10023
25,M,18,4,1609
26,M,25,7,23112
27,M,25,11,19130
28,F,25,1,14607
29,M,35,7,33407
30,F,35,7,19143
31,M,56,7,6840
32,F,25,0,19355
33,M,45,3,55421
34,F,18,0,2135
35,M,45,1,2482
36,M,25,3,94123
37,F,25,9,66212
38,F,18,4,2215
39,M,18,4,61820
40,M,45,0,10543
41,F,18,4,15116
42,M,25,8,24502
43,M,25,12,60614
44,M,45,17,98052
45,F,45,16,94110
46,M,18,19,75602
47,M,18,4,94305
48,M,25,4,92107
49,M,18,12,77084
50,F,25,2,98133
51,F,1,10,10562
52,M,18,4,72212
53,M,25,0,96931
54,M,50,1,56723
55,F,35,12,55303
56,M,35,20,60440
57,M,18,19,30350
58,M,25,2,30303
59,F,50,1,55413
60,M,50,1,72118
61,M,25,17,95122
62,F,35,3,98105
63,M,18,4,54902
64,M,18,1,53706
65,M,35,12,55803
66,M,25,18,57706
67,F,50,5,60181
68,M,18,4,53706
69,F,25,1,2143
70,M,18,4,53703
71,M,25,14,95008
72,F,45,0,55122
73,M,18,4,53706
74,M,35,14,94530
75,F,1,10,1748
76,M,35,7,55413
77,M,18,4,15321
78,F,45,1,98029
79,F,45,0,98103
80,M,56,1,49327
81,F,25,0,60640
82,M,25,17,48380
83,F,25,2,94609
84,M,18,4,53140
85,M,18,4,94945
86,F,1,10,54467
87,M,25,14,48360
88,F,45,1,2476
89,F,56,9,85749
90,M,56,13,85749
91,M,35,7,7650
92,F,18,4,44243
93,M,25,17,95825
94,M,25,17,28601
95,M,45,0,98201
96,F,25,16,78028
97,F,35,3,66210
98,F,35,7,33547
99,F,1,10,19390
100,M,35,17,95401
1,F,18,3,33314
2,M,35,19,20871
3,M,45,7,92104
4,M,25,12,926
5,M,45,12,90277
6,F,35,11,79101
7,M,45,18,63129
8,M,25,12,30316
9,M,45,15,92028
10,M,25,2,90803
11,M,35,15,55416
12,M,25,16,97209
13,M,18,12,37032
14,F,25,2,83712
15,M,25,17,28083
16,M,25,17,55744
17,M,25,17,33314
18,M,35,17,22315
19,F,1,10,77515
20,M,25,11,27106
21,M,35,7,75229
22,F,18,4,94305
23,M,35,9,67208
24,M,56,7,91356
25,M,45,14,1701
26,M,18,9,98117
27,F,45,3,1770
28,M,56,6,37922
29,M,25,11,20164
30,M,35,17,50021
31,M,18,4,6520
32,M,25,17,99709
33,F,25,0,55071
34,M,25,0,66212
35,M,18,4,20006
36,M,18,2,21202
37,F,45,6,78758
38,M,18,20,22203
39,F,25,20,45409
40,F,35,1,55107
41,M,35,13,62035
42,M,25,7,10011
43,M,18,3,64043
44,M,25,17,29401
45,M,18,4,19081
46,F,35,20,10954
47,M,18,4,91360
48,M,50,17,57747
49,M,25,1,29205
50,M,35,7,98144
51,F,25,20,85013
52,M,18,4,48104
53,M,1,10,51537
54,M,50,20,94530
55,M,35,12,7470
56,F,45,7,14519
57,M,35,16,12866
58,M,56,7,28754
59,F,45,0,37922
60,M,35,7,13021
61,M,45,16,98107-2117
62,F,18,4,93117
63,M,18,4,85013
64,F,56,13,94566
65,M,18,16,98502
66,M,18,4,92802
67,F,25,11,10022
68,F,50,0,46970
69,M,25,7,55439
70,M,25,11,7002
71,F,50,17,55441
72,M,25,3,7661
73,M,25,0,45237
74,M,25,16,21203
75,F,25,2,95123
76,F,18,3,55016
77,M,50,1,54016
78,M,56,17,53705
79,M,25,0,2135
80,M,45,12,1603
81,M,18,17,33186
82,M,18,4,3052
83,F,45,1,55407
84,F,25,0,19001
85,M,45,0,14468
86,M,18,5,91767
87,F,45,1,94061
88,M,56,16,79930
89,M,18,0,60076
90,M,25,17,55125
91,M,18,4,4915
92,M,18,1,10977
93,F,45,15,44106
94,F,1,10,29146
95,M,25,12,10458
96,F,35,9,94587
97,M,18,14,10023
98,M,25,12,55108
99,M,18,4,83706
100,F,18,4,84321
1,F,35,2,55117
2,M,18,4,53706
3,M,18,4,53715
4,M,25,7,92123
5,M,35,12,97333
6,F,25,17,20194
7,M,25,12,94115
8,M,35,17,55432
9,M,35,1,90048
10,M,1,10,25801
11,M,45,17,90620
12,M,25,16,53714
13,M,18,4,1609
14,F,18,20,80218
15,M,35,14,92075
16,M,45,13,52761
17,M,18,4,22903
18,M,35,14,95822
19,F,25,4,55113
20,M,25,12,22903
21,M,25,0,94063
22,F,25,1,55116
23,M,25,17,28262
24,M,18,4,14850
25,M,25,7,11215
26,M,35,1,94518
27,F,35,20,90291
28,M,25,15,55455
29,M,18,10,4576
30,M,45,1,43210
31,M,25,3,55455
32,M,25,20,55408
33,F,45,20,37919-4204
34,M,35,7,39652
35,M,25,0,98153
36,M,25,5,55126
37,F,25,6,46835
38,M,50,7,90291
39,F,18,19,94618
40,F,50,17,55113
41,M,35,20,55121
42,M,18,4,53706
43,M,25,16,11576
44,M,50,7,19072
45,M,35,16,66046
46,F,18,4,60625
47,M,25,17,94404
