win,lose,probability
Cleveland Cavaliers,New York Knicks,0.89898718688129675
Golden State Warriors,San Antonio Spurs,0.54089416173325489
Portland Trail Blazers,Utah Jazz,0.65615279885544042
Boston Celtics,Brooklyn Nets,0.90642679075253441
Indiana Pacers,Dallas Mavericks,0.61456094448781817
Houston Rockets,Los Angeles Lakers,0.78887858742500683
Memphis Grizzlies,Minnesota Timberwolves,0.65686018527975853
Charlotte Hornets,Milwaukee Bucks,0.72091083467755923
New Orleans Pelicans,Denver Nuggets,0.54463592629390789
Miami Heat,Orlando Magic,0.65677104436214917
Oklahoma City Thunder,Philadelphia 76ers,0.95092421192277488
Sacramento Kings,Phoenix Suns,0.5661744488026923
Toronto Raptors,Detroit Pistons,0.71188612811125518
Atlanta Hawks,Washington Wizards,0.65996954793204232
Boston Celtics,Chicago Bulls,0.60102177958644065
Los Angeles Clippers,Portland Trail Blazers,0.51759871250874157
San Antonio Spurs,Sacramento Kings,0.88177962611445704
Indiana Pacers,Brooklyn Nets,0.798311067946884
Dallas Mavericks,Houston Rockets,0.52712786032774372
Detroit Pistons,Orlando Magic,0.68322613617026384
Miami Heat,Charlotte Hornets,0.52554120539039451
Golden State Warriors,New Orleans Pelicans,0.92997970408252217
Oklahoma City Thunder,Phoenix Suns,0.93534596617692845
Cleveland Cavaliers,Toronto Raptors,0.61503251063101128
Utah Jazz,Los Angeles Lakers,0.87942791122126307
Indiana Pacers,Chicago Bulls,0.54746038795421548
Charlotte Hornets,Boston Celtics,0.52396228388251298
Cleveland Cavaliers,Orlando Magic,0.86815415445724475
Portland Trail Blazers,Denver Nuggets,0.70794824608950468
Milwaukee Bucks,Brooklyn Nets,0.77077289044231112
Memphis Grizzlies,New York Knicks,0.50340721708924452
Atlanta Hawks,Philadelphia 76ers,0.90209411976354148
Sacramento Kings,Minnesota Timberwolves,0.62674918605755614
San Antonio Spurs,New Orleans Pelicans,0.92956948552738494
Detroit Pistons,Milwaukee Bucks,0.75528522708189949
Houston Rockets,Dallas Mavericks,0.5612680835912266
Los Angeles Clippers,Utah Jazz,0.68231489868133199
Washington Wizards,Memphis Grizzlies,0.52599628814270694
San Antonio Spurs,Miami Heat,0.75372169551621959
Oklahoma City Thunder,Los Angeles Lakers,0.95637501498622834
Golden State Warriors,Phoenix Suns,0.95132025920524621
Atlanta Hawks,Sacramento Kings,0.78051649526258682
Chicago Bulls,Brooklyn Nets,0.72290897406206378
Los Angeles Clippers,Phoenix Suns,0.89517215118349935
Toronto Raptors,Denver Nuggets,0.84461125520720259
Cleveland Cavaliers,Houston Rockets,0.79196351231368889
Detroit Pistons,New York Knicks,0.74458232149626946
Indiana Pacers,Los Angeles Lakers,0.90131213060156568
Miami Heat,Sacramento Kings,0.77923856822758863
Minnesota Timberwolves,Memphis Grizzlies,0.5236163047468757
New Orleans Pelicans,Milwaukee Bucks,0.58289676413263747
Orlando Magic,Philadelphia 76ers,0.76808664421950501
Golden State Warriors,Portland Trail Blazers,0.79813881182123614
San Antonio Spurs,Utah Jazz,0.83857488464997554
Atlanta Hawks,Los Angeles Lakers,0.91522500579989285
Boston Celtics,Chicago Bulls,0.68103949385871965
Detroit Pistons,Brooklyn Nets,0.76471801215738489
Charlotte Hornets,Philadelphia 76ers,0.94570784577952771
Oklahoma City Thunder,Los Angeles Clippers,0.6130872914688239
Memphis Grizzlies,New Orleans Pelicans,0.67883959966021024
Houston Rockets,New York Knicks,0.62438094784508702
Portland Trail Blazers,Phoenix Suns,0.81042036311966092
Utah Jazz,Dallas Mavericks,0.56012249184387342
Toronto Raptors,Washington Wizards,0.68425561086984876
Cleveland Cavaliers,Boston Celtics,0.70738163334877602
Golden State Warriors,Oklahoma City Thunder,0.65329853055347453
Indiana Pacers,Milwaukee Bucks,0.67180653675219137
Minnesota Timberwolves,Denver Nuggets,0.58676836186652837
Orlando Magic,Sacramento Kings,0.61274627389761793
Charlotte Hornets,Brooklyn Nets,0.83318756618277889
Chicago Bulls,New York Knicks,0.70963170535958897
Portland Trail Blazers,Dallas Mavericks,0.59539011382707052
Golden State Warriors,Los Angeles Lakers,0.96554153919758889
Los Angeles Clippers,Memphis Grizzlies,0.7110745305213042
New Orleans Pelicans,Phoenix Suns,0.69312862270861086
Toronto Raptors,Miami Heat,0.62856558180322419
San Antonio Spurs,Utah Jazz,0.81806054163964614
Atlanta Hawks,Washington Wizards,0.58526669650279639
Atlanta Hawks,Houston Rockets,0.6404012792265863
Detroit Pistons,Denver Nuggets,0.7253877173177673
Indiana Pacers,Chicago Bulls,0.64379404205794422
Milwaukee Bucks,Sacramento Kings,0.55230708342310797
Oklahoma City Thunder,Minnesota Timberwolves,0.89330192139978948
Washington Wizards,Orlando Magic,0.53659679510009661
Cleveland Cavaliers,Philadelphia 76ers,0.95915597181976542
San Antonio Spurs,Los Angeles Clippers,0.71728669359920527
Boston Celtics,Denver Nuggets,0.79036917355128644
Dallas Mavericks,Milwaukee Bucks,0.73398122166369106
Los Angeles Lakers,Phoenix Suns,0.51705087360235324
Portland Trail Blazers,Memphis Grizzlies,0.66486328397490246
Utah Jazz,New York Knicks,0.62293912435481169
Toronto Raptors,Sacramento Kings,0.83670000649256226
Chicago Bulls,Orlando Magic,0.64389510459944843
Charlotte Hornets,Indiana Pacers,0.57816185363854433
Golden State Warriors,New Orleans Pelicans,0.94217344970668648
Los Angeles Clippers,Detroit Pistons,0.67272716974315649
Oklahoma City Thunder,Miami Heat,0.70458357147570938
Utah Jazz,Philadelphia 76ers,0.85060190678617709
Washington Wizards,Houston Rockets,0.53265533002858378
Minnesota Timberwolves,Brooklyn Nets,0.57481308092912009
Cleveland Cavaliers,Atlanta Hawks,0.70298697135175836
