num,player,time,reb,ast,ste,blo,tov,ppg,win,lose,win_rate,
1,Michael Jordan,38.300000,6.200000,5.300000,2.300000,0.800000,2.700000,30.100000,668.000000,322.000000,0.674747,
2,Wilt Chamberlain,45.800000,22.900000,4.400000,1.750000,0.900000,2.950000,30.100000,645.000000,400.000000,0.617225,
3,Elgin Baylor,40.000000,13.500000,4.300000,1.750000,0.900000,2.950000,27.400000,500.000000,346.000000,0.591017,
4,Kevin Durant,37.400000,7.200000,3.800000,1.200000,1.000000,3.200000,27.200000,425.000000,278.000000,0.604552,
5,LeBron James,38.900000,7.300000,7.000000,1.600000,0.800000,3.400000,27.100000,711.000000,350.000000,0.670123,
6,Jerry West,39.200000,5.800000,6.700000,1.900000,0.500000,3.500000,27.000000,588.500000,399.000000,0.595949,
7,allen iverson,41.100000,3.700000,6.200000,2.200000,0.200000,3.600000,26.700000,466.000000,448.000000,0.509847,
8,Bob Pettit,38.800000,16.200000,3.000000,1.700000,0.500000,3.350000,26.400000,709.000000,486.000000,0.593305,
9,George Gervin,33.500000,4.600000,2.800000,1.200000,0.800000,3.350000,26.200000,709.000000,486.000000,0.593305,
10,Os car Robertson,42.200000,7.500000,9.500000,1.300000,0.800000,3.350000,25.700000,709.000000,486.000000,0.593305,
11,Karl Malone,37.200000,10.100000,3.600000,1.400000,0.800000,3.100000,25.000000,952.000000,524.000000,0.644986,
12,Kobe Bryant,36.100000,5.200000,4.700000,1.400000,0.500000,3.000000,25.000000,836.000000,510.000000,0.621100,
13,Dominique Wilkins,35.500000,6.700000,2.500000,1.300000,0.600000,2.500000,24.800000,684.500000,476.500000,0.589578,
14,Carmelo Anthony,36.200000,6.600000,3.100000,1.100000,0.500000,2.800000,24.800000,533.000000,443.000000,0.546107,
15,Karim Jabbar,36.800000,11.200000,3.600000,1.400000,0.650000,2.950000,24.600000,676.000000,415.500000,0.619331,
16,Larry bird,38.400000,10.000000,6.300000,1.700000,0.800000,3.100000,24.300000,676.000000,415.500000,0.619331,
17,Adrian Dantley,35.800000,5.700000,3.000000,1.000000,0.200000,2.900000,24.300000,676.000000,415.500000,0.619331,
18,pete maravich,37.000000,4.200000,5.400000,0.800000,1.250000,2.900000,24.200000,676.000000,415.500000,0.619331,
19,Shaquille ONeil,34.700000,10.900000,2.500000,0.600000,2.300000,2.700000,23.700000,819.000000,388.000000,0.678542,
20,Dwyane Wade,35.400000,4.800000,5.700000,1.600000,0.900000,3.300000,23.300000,539.000000,376.000000,0.589071,
21,Rick Barry,36.300000,6.500000,5.100000,1.700000,0.550000,3.250000,23.200000,454.000000,290.500000,0.609805,
22,George Mikan,35.500000,7.550000,2.800000,1.700000,0.550000,3.250000,23.100000,454.000000,290.500000,0.609805,
23,Paul Arizin,35.500000,8.600000,2.300000,1.700000,0.550000,3.250000,22.800000,454.000000,290.500000,0.609805,
24,Stephen Currie,34.700000,4.400000,6.800000,1.800000,0.200000,3.200000,22.800000,369.000000,205.000000,0.642857,
25,Russell Westbrook,34.100000,6.200000,7.900000,1.700000,0.300000,3.900000,22.700000,410.000000,258.000000,0.613772,
