num,player,season,time,reb,ast,ste,blo,tov,ppg,win,lose,win_rate,
1,A.C. Green,2000.000000,17.200000,3.800000,0.500000,0.400000,0.100000,0.500000,4.500000,50.000000,32.000000,0.609756,
2,A.C. Green,1999.000000,23.500000,5.900000,1.000000,0.600000,0.200000,0.600000,5.000000,67.000000,15.000000,0.817073,
3,A.C. Green,1998.000000,18.500000,4.600000,0.500000,0.600000,0.200000,0.400000,4.900000,19.000000,31.000000,0.380000,
4,A.C. Green,1997.000000,32.300000,8.100000,1.500000,1.000000,0.300000,0.800000,7.300000,20.000000,62.000000,0.243902,
5,A.C. Green,1996.000000,30.000000,7.900000,0.800000,0.800000,0.200000,0.900000,7.200000,23.000000,60.000000,0.277108,
6,A.C. Green,1996.000000,34.700000,9.300000,0.900000,0.900000,0.300000,1.000000,7.900000,15.000000,41.000000,0.267857,
7,A.C. Green,1996.000000,20.300000,5.100000,0.600000,0.700000,0.000000,0.700000,5.700000,8.000000,19.000000,0.296296,
8,A.C. Green,1995.000000,25.800000,6.800000,0.900000,0.500000,0.300000,1.000000,7.500000,41.000000,41.000000,0.500000,
9,A.C. Green,1994.000000,32.800000,8.200000,1.500000,0.700000,0.400000,1.400000,11.200000,59.000000,23.000000,0.719512,
10,A.C. Green,1993.000000,34.500000,9.200000,1.700000,0.900000,0.500000,1.200000,14.700000,56.000000,26.000000,0.682927,
11,A.C. Green,1992.000000,34.400000,8.700000,1.400000,1.100000,0.500000,1.400000,12.800000,39.000000,43.000000,0.475610,
12,A.C. Green,1991.000000,35.400000,9.300000,1.400000,1.100000,0.400000,1.400000,13.600000,43.000000,39.000000,0.524390,
13,A.C. Green,1990.000000,26.400000,6.300000,0.900000,0.700000,0.300000,1.200000,9.100000,58.000000,24.000000,0.707317,
14,A.C. Green,1989.000000,33.000000,8.700000,1.100000,0.800000,0.600000,1.400000,12.900000,63.000000,19.000000,0.768293,
15,A.C. Green,1988.000000,30.600000,9.000000,1.300000,1.100000,0.700000,1.500000,13.300000,57.000000,25.000000,0.695122,
16,A.C. Green,1987.000000,32.100000,8.700000,1.100000,1.100000,0.500000,1.500000,11.400000,62.000000,20.000000,0.756098,
17,A.C. Green,1986.000000,28.400000,7.800000,1.100000,0.900000,1.000000,1.300000,10.800000,63.000000,16.000000,0.797468,
18,A.C. Green,1985.000000,18.800000,4.600000,0.700000,0.600000,0.600000,1.200000,6.400000,62.000000,20.000000,0.756098,
19,A.J. Brahm Wright,1999.000000,7.600000,2.800000,0.000000,0.100000,0.000000,0.400000,1.000000,3.000000,5.000000,0.375000,
20,A.J. English,1991.000000,20.600000,2.100000,1.800000,0.400000,0.100000,1.100000,10.900000,25.000000,56.000000,0.308642,
21,A.J. English,1990.000000,20.600000,2.100000,2.500000,0.400000,0.200000,1.600000,8.800000,24.000000,46.000000,0.342857,
22,Guyston A.J.,2002.000000,4.500000,0.000000,1.000000,0.500000,0.000000,0.500000,0.000000,1.000000,1.000000,0.500000,
23,Guyston A.J.,2001.000000,13.500000,1.000000,1.800000,0.200000,0.200000,0.800000,5.400000,10.000000,35.000000,0.222222,
24,Guyston A.J.,2000.000000,19.100000,1.100000,1.900000,0.300000,0.200000,0.700000,6.000000,6.000000,27.000000,0.181818,
25,A.J. Preiss,2014.000000,12.500000,1.200000,1.800000,0.300000,0.000000,0.500000,5.100000,11.000000,15.000000,0.423077,
26,A.J. Preiss,2014.000000,8.800000,0.600000,1.200000,0.000000,0.000000,0.200000,1.200000,2.000000,3.000000,0.400000,
27,A.J. Preiss,2014.000000,8.000000,1.400000,1.200000,0.300000,0.000000,0.300000,2.000000,4.000000,7.000000,0.363636,
28,A.J. Preiss,2014.000000,19.300000,1.400000,2.700000,0.400000,0.000000,1.000000,10.500000,5.000000,5.000000,0.500000,
29,A.J. Preiss,2013.000000,3.500000,0.400000,0.500000,0.000000,0.000000,0.300000,1.600000,15.000000,13.000000,0.535714,
30,A.J. Preiss,2012.000000,22.400000,2.000000,3.600000,0.600000,0.100000,1.100000,7.700000,21.000000,36.000000,0.368421,
31,A.J. Preiss,2011.000000,12.900000,1.400000,2.000000,0.500000,0.000000,0.700000,3.900000,27.000000,17.000000,0.613636,
32,A.J. Preiss,2010.000000,16.000000,1.400000,2.200000,0.600000,0.000000,1.100000,6.500000,22.000000,28.000000,0.440000,
33,A.J. Preiss,2009.000000,15.400000,1.600000,1.900000,0.600000,0.100000,1.100000,7.300000,23.000000,33.000000,0.410714,
34,A.J. Wan,1990.000000,6.500000,0.500000,1.300000,0.200000,0.000000,0.700000,2.000000,3.000000,3.000000,0.500000,
35,A.W. Holt,1970.000000,2.300000,0.700000,0.000000,0.300000,0.050000,0.850000,0.700000,19.500000,16.000000,0.549296,
36,Aaron Brooks,2016.000000,13.800000,1.100000,1.900000,0.400000,0.100000,1.000000,5.000000,36.000000,29.000000,0.553846,
37,Aaron Brooks,2015.000000,16.100000,1.500000,2.600000,0.400000,0.100000,1.200000,7.100000,36.000000,33.000000,0.521739,
38,Aaron Brooks,2014.000000,23.000000,2.000000,3.200000,0.700000,0.200000,1.900000,11.600000,50.000000,32.000000,0.609756,
39,Aaron Brooks,2013.000000,21.600000,1.900000,3.200000,0.700000,0.200000,1.600000,9.000000,42.000000,30.000000,0.583333,
40,Aaron Brooks,2013.000000,29.000000,2.700000,5.200000,0.900000,0.200000,2.300000,11.900000,11.000000,18.000000,0.379310,
41,Aaron Brooks,2013.000000,16.600000,1.400000,1.900000,0.600000,0.100000,1.200000,7.000000,31.000000,12.000000,0.720930,
