num,player,time,hit_rate,fr_throw,reb,ast,ste,blo,tov,ppg,win,lose,
1,Michael Jordan,38.3,49.70%,83.50%,6.2,5.3,2.3,0.8,2.7,30.1,668,322,
2,Wilt Chamberlain,45.8,54.00%,51.10%,22.9,4.4,?,?,?,30.1,645,400,
3,Elgin Baylor,40,43.10%,78.00%,13.5,4.3,?,?,?,27.4,500,346,
4,Kevin Durant,37.4,48.80%,88.20%,7.2,3.8,1.2,1,3.2,27.2,425,278,
5,LeBron James,38.9,50.10%,74.00%,7.3,7,1.6,0.8,3.4,27.1,711,350,
6,Jerry West,39.2,47.40%,81.40%,5.8,6.7,?,?,?,27,?,?,
7,allen iverson,41.1,42.50%,78.00%,3.7,6.2,2.2,0.2,3.6,26.7,466,448,
8,Bob Pettit,38.8,43.60%,76.10%,16.2,3,?,?,?,26.4,?,?,
9,George Gervin,33.5,51.10%,84.40%,4.6,2.8,1.2,0.8,?,26.2,?,?,
10,Os car Robertson,42.2,48.50%,83.80%,7.5,9.5,?,?,?,25.7,?,?,
11,Karl Malone,37.2,51.60%,74.20%,10.1,3.6,1.4,0.8,3.1,25,952,524,
12,Kobe Bryant,36.1,44.70%,83.70%,5.2,4.7,1.4,0.5,3,25,836,510,
13,Dominique Wilkins,35.5,46.10%,81.10%,6.7,2.5,1.3,0.6,2.5,24.8,?,?,
14,Carmelo Anthony,36.2,45.20%,81.30%,6.6,3.1,1.1,0.5,2.8,24.8,533,443,
15,Karim Jabbar,36.8,55.90%,72.10%,11.2,3.6,?,?,?,24.6,?,?,
16,Larry bird,38.4,49.60%,88.60%,10,6.3,1.7,0.8,3.1,24.3,?,?,
17,Adrian Dantley,35.8,54.00%,81.80%,5.7,3,1,0.2,?,24.3,?,?,
18,pete maravich,37,44.10%,82.00%,4.2,5.4,?,?,?,24.2,?,?,
19,Shaquille ONeil,34.7,58.20%,52.70%,10.9,2.5,0.6,2.3,2.7,23.7,819,388,
20,Dwyane Wade,35.4,48.40%,76.80%,4.8,5.7,1.6,0.9,3.3,23.3,539,376,
21,Rick Barry,36.3,44.90%,90.00%,6.5,5.1,?,?,?,23.2,?,?,
22,George Mikan,?,40.40%,78.20%,?,2.8,?,?,?,23.1,?,?,
23,Paul Arizin,?,42.10%,81.00%,8.6,2.3,?,?,?,22.8,?,?,
24,Stephen Currie,34.7,47.60%,90.10%,4.4,6.8,1.8,0.2,3.2,22.8,369,205,
