Number of transactions:122607
Min Support:0.03 Min Confidence:0.88
Frequent Itemsets:
1:  dairy eggs	support=0.5754
2:  canned goods	support=0.1374
3:  beverages	support=0.3801
4:  produce	support=0.6804
5:  deli	support=0.1762
6:  frozen	support=0.2804
7:  snacks	support=0.3225
8:  meat seafood	support=0.1245
9:  pantry	support=0.1848
10:  household	support=0.0894
11:  bakery	support=0.2028
12:  personal care	support=0.0488
13:  babies	support=0.0338
14:  breakfast	support=0.1113
15:  international	support=0.0335
16:  dry goods pasta	support=0.1171
17:  ('canned goods', 'deli')	support=0.0378
18:  ('frozen', 'household')	support=0.0313
19:  ('bakery', 'dry goods pasta')	support=0.0418
20:  ('dairy eggs', 'personal care')	support=0.0305
21:  ('canned goods', 'pantry')	support=0.0435
22:  ('beverages', 'dry goods pasta')	support=0.0532
23:  ('deli', 'meat seafood')	support=0.0327
24:  ('breakfast', 'frozen')	support=0.0472
25:  ('dairy eggs', 'deli')	support=0.1289
26:  ('beverages', 'household')	support=0.0461
27:  ('canned goods', 'dry goods pasta')	support=0.0347
28:  ('beverages', 'deli')	support=0.0778
29:  ('personal care', 'produce')	support=0.0312
30:  ('bakery', 'breakfast')	support=0.0384
31:  ('bakery', 'deli')	support=0.0585
32:  ('dairy eggs', 'dry goods pasta')	support=0.0897
33:  ('frozen', 'meat seafood')	support=0.0491
34:  ('beverages', 'dairy eggs')	support=0.2309
35:  ('beverages', 'meat seafood')	support=0.0524
36:  ('beverages', 'pantry')	support=0.0815
37:  ('bakery', 'meat seafood')	support=0.0392
38:  ('household', 'snacks')	support=0.0381
39:  ('bakery', 'pantry')	support=0.0561
40:  ('dairy eggs', 'meat seafood')	support=0.0904
41:  ('frozen', 'pantry')	support=0.0735
42:  ('canned goods', 'frozen')	support=0.0581
43:  ('breakfast', 'pantry')	support=0.0322
44:  ('deli', 'dairy eggs', 'canned goods')	support=0.0312
45:  ('beverages', 'breakfast', 'snacks')	support=0.0324
46:  ('meat seafood', 'dairy eggs', 'bakery')	support=0.0331
47:  ('dairy eggs', 'household', 'beverages')	support=0.0315
48:  ('pantry', 'bakery', 'snacks')	support=0.0324
49:  ('frozen', 'canned goods', 'snacks')	support=0.032
50:  ('dairy eggs', 'household', 'produce')	support=0.0402
51:  ('canned goods', 'beverages', 'snacks')	support=0.0323
52:  ('breakfast', 'bakery', 'produce')	support=0.0323
53:  ('household', 'beverages', 'produce')	support=0.0302
54:  ('meat seafood', 'bakery', 'produce')	support=0.0337
55:  ('breakfast', 'beverages', 'snacks')	support=0.0324
56:  ('dry goods pasta', 'canned goods', 'produce')	support=0.0302
57:  ('dry goods pasta', 'frozen', 'snacks')	support=0.0318
58:  ('dry goods pasta', 'beverages', 'snacks')	support=0.0307
59:  ('dry goods pasta', 'dairy eggs', 'pantry')	support=0.0319
60:  ('deli', 'bakery', 'beverages')	support=0.03
61:  ('deli', 'beverages', 'bakery')	support=0.03
62:  ('meat seafood', 'pantry', 'produce')	support=0.0301
63:  ('beverages', 'canned goods', 'snacks')	support=0.0323
64:  ('deli', 'dry goods pasta', 'produce')	support=0.0306
65:  ('dry goods pasta', 'pantry', 'produce')	support=0.0323
66:  ('deli', 'canned goods', 'produce')	support=0.0339
67:  ('deli', 'snacks', 'beverages', 'produce')	support=0.0384
68:  ('snacks', 'dairy eggs', 'bakery', 'produce')	support=0.0655
69:  ('dairy eggs', 'pantry', 'beverages', 'snacks')	support=0.0377
70:  ('deli', 'dairy eggs', 'beverages', 'snacks')	support=0.0377
71:  ('dairy eggs', 'pantry', 'beverages', 'produce')	support=0.0532
72:  ('deli', 'dairy eggs', 'beverages', 'produce')	support=0.0534
73:  ('produce', 'dairy eggs', 'bakery', 'snacks')	support=0.0655
74:  ('produce', 'dairy eggs', 'beverages', 'snacks')	support=0.09
75:  ('bakery', 'dairy eggs', 'beverages', 'snacks')	support=0.0427
76:  ('snacks', 'pantry', 'beverages', 'produce')	support=0.0374
77:  ('snacks', 'dairy eggs', 'beverages', 'produce')	support=0.09
78:  ('deli', 'dairy eggs', 'frozen', 'snacks')	support=0.0356
79:  ('deli', 'dairy eggs', 'bakery', 'produce')	support=0.0437
80:  ('canned goods', 'dairy eggs', 'beverages', 'produce')	support=0.0407
81:  ('produce', 'frozen', 'bakery', 'snacks')	support=0.0401
82:  ('bakery', 'produce', 'beverages', 'snacks')	support=0.0416
83:  ('dairy eggs', 'frozen', 'beverages', 'produce')	support=0.0768
84:  ('snacks', 'dairy eggs', 'canned goods', 'produce')	support=0.0429
85:  ('dry goods pasta', 'dairy eggs', 'frozen', 'produce')	support=0.0396
86:  ('snacks', 'beverages', 'bakery', 'produce')	support=0.0416
87:  ('produce', 'meat seafood', 'dairy eggs', 'snacks')	support=0.0373
88:  ('dairy eggs', 'pantry', 'frozen', 'produce')	support=0.051
89:  ('dairy eggs', 'canned goods', 'bakery', 'produce')	support=0.0316
90:  ('dairy eggs', 'frozen', 'breakfast', 'produce')	support=0.0338
91:  ('meat seafood', 'produce', 'dairy eggs', 'snacks')	support=0.0373
92:  ('deli', 'snacks', 'dairy eggs', 'produce')	support=0.06
93:  ('breakfast', 'dairy eggs', 'beverages', 'produce')	support=0.0357
94:  ('produce', 'pantry', 'dairy eggs', 'snacks')	support=0.0564
95:  ('snacks', 'pantry', 'frozen', 'produce')	support=0.036
96:  ('dry goods pasta', 'dairy eggs', 'bakery', 'produce')	support=0.0321
97:  ('dairy eggs', 'beverages', 'canned goods', 'produce')	support=0.0407
