Data_Time,Year,Month,Day,Value,F_day1,F_day2,F_day3,F_week,dayOfWeek,isWorkday,isHoliday,Season,Tem_max,Tem_min,RH_max,RH_min,Tag,Fix,kmeans
1/1/2018 00:00:00,2018,1,1,6080.036,,,,,1,0,1,4,2.6292279,-6.1039896,55.42905,12.71481,-1,0,
2/1/2018 00:00:00,2018,1,2,15301.312,,,,,2,1,0,4,0.9927587,-6.8714123,53.80515,18.341152,0,0,
3/1/2018 00:00:00,2018,1,3,25438.624,,,,,3,1,0,4,-0.014524323,-6.505036,25.33199,13.728867,0,0,
4/1/2018 00:00:00,2018,1,4,14843.724,,,,,4,1,0,4,-1.704525,-6.276233,28.887123,17.650814,0,0,
5/1/2018 00:00:00,2018,1,5,12586.444,,,,,5,1,0,4,-1.9479983,-8.562301,59.88802,30.50284,0,0,
6/1/2018 00:00:00,2018,1,6,13175.06,,,,,6,0,0,4,1.3187772,-6.535292,31.698503,19.1054,0,0,
7/1/2018 00:00:00,2018,1,7,15137.056,,,,,7,0,0,4,1.27956515,-4.9357348,38.5268235,16.84942,0,0,
8/1/2018 00:00:00,2018,1,8,46180.38,,,,,1,1,0,4,1.2403531,-4.9141517,49.64828,14.59344,1,0,
9/1/2018 00:00:00,2018,1,9,53122.508,,,,,2,1,0,4,0.43256488,-6.9693804,30.04575,11.329487,1,0,
10/1/2018 00:00:00,2018,1,10,47807.172,,,,,3,1,0,4,-4.4848146,-9.966937,28.320866,17.130007,1,0,
11/1/2018 00:00:00,2018,1,11,25215.176,,,,,4,1,0,4,-3.367036,-9.719816,20.1883,9.665258,0,0,
12/1/2018 00:00:00,2018,1,12,14277.812,,,,,5,1,0,4,1.2123832,-9.609491,24.467123,10.81142,0,0,
13/1/2018 00:00:00,2018,1,13,6197.556,,,,,6,0,0,4,0.60180974,-9.770459,48.820927,30.721424,-1,0,
14/1/2018 00:00:00,2018,1,14,7223.76,,,,,7,0,0,4,5.2229614,-7.2352257,73.261055,24.937668,-1,0,
15/1/2018 00:00:00,2018,1,15,12937.768,,,,,1,1,0,4,-0.60644126,-4.8878827,65.179405,35.866505,0,0,
16/1/2018 00:00:00,2018,1,16,19200.58,,,,,2,1,0,4,3.9726558,-4.3462377,65.02601,18.24597,0,0,
17/1/2018 00:00:00,2018,1,17,21064.076,,,,,3,1,0,4,4.8882914,-5.188294,54.474922,14.56867,0,0,
18/1/2018 00:00:00,2018,1,18,12214.052,,,,,4,1,0,4,2.4279714,-8.203969,39.494354,20.971008,0,0,
